seed,method,classifier,macro_f1,accuracy,precision_macro,recall_macro,fit_time_seconds,predict_time_seconds,total_time_seconds,classifier_only_total_time_seconds,reduction_runtime_seconds,input_feature_count,output_feature_count,feature_reduction_ratio,ga_variant,ga_best_cv_macro_f1,fitness_classifier,fitness_metric,population_size,generations,cxpb,mutpb,mutation_indpb,tournament_size,nca_components
62,vanilla_ga,SVM,0.935807,0.923981,0.93843,0.933437,0.558067,0.31936,73.342806,0.877427,72.465379,16,9,0.4375,vanilla_ga,0.936342,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
62,improved_ga,Logistic Regression,0.932085,0.919941,0.934934,0.929602,0.248821,0.000647,78.031541,0.249467,77.782073,16,9,0.4375,improved_ga,0.936201,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
62,improved_ga,Random Forest,0.931745,0.919941,0.935308,0.928545,8.699011,0.068475,86.549559,8.767486,77.782073,16,9,0.4375,improved_ga,0.936201,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
62,improved_ga,SVM,0.935271,0.923614,0.937925,0.932948,0.552552,0.326511,78.661137,0.879063,77.782073,16,9,0.4375,improved_ga,0.936201,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
62,nca,Logistic Regression,0.936326,0.924348,0.938315,0.934539,9.522886,0.000637,370.795735,9.523522,361.272213,16,6,0.625,,,,,,,,,,,6
62,nca,Random Forest,0.937525,0.926919,0.940792,0.934702,6.061865,0.074332,367.40841,6.136197,361.272213,16,6,0.625,,,,,,,,,,,6
62,nca,SVM,0.935729,0.923981,0.938857,0.93295,0.42085,0.298421,361.991485,0.719272,361.272213,16,6,0.625,,,,,,,,,,,6
72,baseline,Logistic Regression,0.929566,0.91884,0.931725,0.927837,0.516106,0.000693,0.516799,0.516799,0.0,16,16,0.0,,,,,,,,,,,
72,baseline,Random Forest,0.929281,0.915902,0.931387,0.927315,11.450422,0.074016,11.524438,11.524438,0.0,16,16,0.0,,,,,,,,,,,
72,baseline,SVM,0.932162,0.920308,0.935559,0.92932,0.599903,0.328738,0.928641,0.928641,0.0,16,16,0.0,,,,,,,,,,,
72,vanilla_ga,Logistic Regression,0.92928,0.919207,0.931542,0.927503,0.189835,0.000505,78.508418,0.19034,78.318078,16,11,0.3125,vanilla_ga,0.936893,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
72,vanilla_ga,Random Forest,0.928727,0.917003,0.930559,0.927019,8.773081,0.074958,87.166118,8.84804,78.318078,16,11,0.3125,vanilla_ga,0.936893,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
72,vanilla_ga,SVM,0.930991,0.918472,0.933908,0.92847,0.604586,0.348978,79.271642,0.953564,78.318078,16,11,0.3125,vanilla_ga,0.936893,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.1,3,
72,improved_ga,Logistic Regression,0.929115,0.918472,0.930663,0.927854,0.136247,0.000532,69.313501,0.136779,69.176722,16,7,0.5625,improved_ga,0.937658,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
72,improved_ga,Random Forest,0.932586,0.921043,0.934861,0.93049,6.068315,0.070591,75.315628,6.138906,69.176722,16,7,0.5625,improved_ga,0.937658,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
72,improved_ga,SVM,0.932517,0.920676,0.934573,0.930764,0.54391,0.328579,70.049212,0.87249,69.176722,16,7,0.5625,improved_ga,0.937658,Logistic Regression,macro_f1_cv_3fold_with_subset_penalty,20,10,0.8,0.1,0.2,5,
