seed,ga_variant,feature_index,feature_name,selected
82,vanilla_ga,12,ShapeFactor1,1
82,vanilla_ga,13,ShapeFactor2,0
82,vanilla_ga,14,ShapeFactor3,0
82,vanilla_ga,15,ShapeFactor4,1
82,improved_ga,0,Area,0
82,improved_ga,1,Perimeter,1
82,improved_ga,2,MajorAxisLength,0
82,improved_ga,3,MinorAxisLength,0
82,improved_ga,4,AspectRation,1
82,improved_ga,5,Eccentricity,1
82,improved_ga,6,ConvexArea,0
82,improved_ga,7,EquivDiameter,0
82,improved_ga,8,Extent,1
82,improved_ga,9,Solidity,1
82,improved_ga,10,roundness,1
82,improved_ga,11,Compactness,0
82,improved_ga,12,ShapeFactor1,1
82,improved_ga,13,ShapeFactor2,0
82,improved_ga,14,ShapeFactor3,1
82,improved_ga,15,ShapeFactor4,1
